image_name,image_path,mask_path,height,width,total_pixels,positive_pixels,positive_ratio
1186,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1186.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1186.png,2947,2576,7591472,2507350,0.3302850883201571
1192,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1192.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1192.png,2693,2544,6850992,1615511,0.2358068729316864
1179,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1179.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1179.png,2400,2039,4893600,1144538,0.2338846656857937
1145,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1145.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1145.png,2946,2715,7998390,1658804,0.20739223768783469
1623,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1623.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1623.png,4020,4892,19665840,6751319,0.3433018370941694
1637,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1637.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1637.png,4020,4892,19665840,4322151,0.21977962802504242
1151,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1151.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1151.png,2457,2997,7363629,1325233,0.17997009355034047
1384,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1384.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1384.png,2995,3000,8985000,2980992,0.33177429048414026
1390,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1390.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1390.png,2931,3000,8793000,1592738,0.1811370408279313
1409,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1409.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1409.png,2971,3000,8913000,1804223,0.2024260069561315
1421,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1421.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1421.png,2324,2266,5266184,1777158,0.337465990554071
1347,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1347.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1347.png,2949,3000,8847000,1888825,0.21349892618966881
1353,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1353.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1353.png,2942,2369,6969598,1299772,0.18649167426873114
1435,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1435.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1435.png,3001,2674,8024674,1897913,0.23650967005014784
1596,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1596.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1596.png,4892,4020,19665840,7103644,0.36121742066446183
1582,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1582.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1582.png,4892,4020,19665840,4365622,0.2219901107707578
1569,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1569.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1569.png,4892,4020,19665840,6729638,0.34219936702424103
1555,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1555.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1555.png,2991,2609,7803519,2305824,0.29548515227553107
1233,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1233.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1233.png,2945,3000,8835000,2068857,0.2341660441426146
1227,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1227.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1227.png,2701,2629,7100929,1715305,0.24156064650132397
1541,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1541.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1541.png,2988,2676,7995888,2163453,0.2705706983389462
1019,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1019.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1019.png,2998,2989,8961022,1913024,0.21348279247612606
1031,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1031.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1031.png,2967,3000,8901000,1476016,0.16582586226266713
1025,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1025.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1025.png,2947,3000,8841000,1689199,0.19106424612600384
1024,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1024.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1024.png,2386,2282,5444852,1830200,0.33613402164099226
1030,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1030.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1030.png,2993,2967,8880231,2180279,0.2455205275628528
1018,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1018.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1018.png,2976,2628,7820928,2202118,0.28156735364396657
1226,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1226.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1226.png,2308,2308,5326864,1433949,0.2691919673564033
1540,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1540.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1540.png,2931,3000,8793000,3104556,0.35307130672125553
1554,/Users/t/Documents/DISSERTATION/Chest-X-Ray/image/1554.png,/Users/t/Documents/DISSERTATION/Chest-X-Ray/mask/1554.png,2838,2617,7427046,1937457,0.26086508687303134
